,investment title,surrounding sentence,ontology attribute,similar pair,Sorensen
103,Municipal Bonds,credit rating seek to estimate the relative credit risk of a bond as compare with other bond although a high rating do not reflect a prediction that the bond have no chance of defaulting,risk,relative credit risk,0.5
104,Municipal Bonds,credit rating seek to estimate the relative credit risk of a bond as compare with other bond although a high rating do not reflect a prediction that the bond have no chance of defaulting,risk,credit risk of,0.5
105,Municipal Bonds,credit rating seek to estimate the relative credit risk of a bond as compare with other bond although a high rating do not reflect a prediction that the bond have no chance of defaulting,risk,risk of a,0.5
106,Municipal Bonds,interest rate risk,risk,risk,1.0
107,Municipal Bonds,interest rate risk,risk,rate risk,0.6666666666666666
108,Municipal Bonds,interest rate risk,risk,interest rate risk,0.5
109,Municipal Bonds,U.S. interest rate have be low for some time,time,time,1.0
110,Municipal Bonds,U.S. interest rate have be low for some time,time,some time,0.6666666666666666
111,Municipal Bonds,U.S. interest rate have be low for some time,time,for some time,0.5
112,Municipal Bonds,inflation risk,risk,risk,1.0
113,Municipal Bonds,inflation risk,risk,inflation risk,0.6666666666666666
114,Municipal Bonds,inflation reduce purchase power which be a risk for investor receive a fix rate of interest,risk,risk,1.0
115,Municipal Bonds,inflation reduce purchase power which be a risk for investor receive a fix rate of interest,risk,a risk,0.6666666666666666
116,Municipal Bonds,inflation reduce purchase power which be a risk for investor receive a fix rate of interest,risk,risk for,0.6666666666666666
117,Municipal Bonds,inflation reduce purchase power which be a risk for investor receive a fix rate of interest,risk,be a risk,0.5
118,Municipal Bonds,inflation reduce purchase power which be a risk for investor receive a fix rate of interest,risk,a risk for,0.5
119,Municipal Bonds,inflation reduce purchase power which be a risk for investor receive a fix rate of interest,risk,risk for investor,0.5
120,Municipal Bonds,liquidity risk,risk,risk,1.0
121,Municipal Bonds,liquidity risk,risk,liquidity risk,0.6666666666666666
122,Municipal Bonds,this refer to the risk that investor will not find a active market for the municipal bond potentially prevent they from buy or sell when they want and obtain a certain price for the bond,risk,risk,1.0
123,Municipal Bonds,this refer to the risk that investor will not find a active market for the municipal bond potentially prevent they from buy or sell when they want and obtain a certain price for the bond,risk,the risk,0.6666666666666666
124,Municipal Bonds,this refer to the risk that investor will not find a active market for the municipal bond potentially prevent they from buy or sell when they want and obtain a certain price for the bond,risk,risk that,0.6666666666666666
125,Municipal Bonds,this refer to the risk that investor will not find a active market for the municipal bond potentially prevent they from buy or sell when they want and obtain a certain price for the bond,risk,to the risk,0.5
126,Municipal Bonds,this refer to the risk that investor will not find a active market for the municipal bond potentially prevent they from buy or sell when they want and obtain a certain price for the bond,risk,the risk that,0.5
127,Municipal Bonds,this refer to the risk that investor will not find a active market for the municipal bond potentially prevent they from buy or sell when they want and obtain a certain price for the bond,risk,risk that investor,0.5
128,Municipal Bonds,in addition to the risk what other factor should you consider when invest in municipal bond,factor affect return,factor,0.5
129,Municipal Bonds,in addition to the risk what other factor should you consider when invest in municipal bond,risk,risk,1.0
130,Municipal Bonds,in addition to the risk what other factor should you consider when invest in municipal bond,risk,the risk,0.6666666666666666
131,Municipal Bonds,in addition to the risk what other factor should you consider when invest in municipal bond,risk,risk what,0.6666666666666666
132,Municipal Bonds,in addition to the risk what other factor should you consider when invest in municipal bond,risk,to the risk,0.5
133,Municipal Bonds,in addition to the risk what other factor should you consider when invest in municipal bond,risk,the risk what,0.5
134,Municipal Bonds,in addition to the risk what other factor should you consider when invest in municipal bond,risk,risk what other,0.5
135,High-yield Corporate Bonds,a high yield corporate bond be a type of corporate bond that offer a higher rate of interest because of its higher risk of default,risk,risk,1.0
136,High-yield Corporate Bonds,a high yield corporate bond be a type of corporate bond that offer a higher rate of interest because of its higher risk of default,risk,higher risk,0.6666666666666666
137,High-yield Corporate Bonds,a high yield corporate bond be a type of corporate bond that offer a higher rate of interest because of its higher risk of default,risk,risk of,0.6666666666666666
138,High-yield Corporate Bonds,a high yield corporate bond be a type of corporate bond that offer a higher rate of interest because of its higher risk of default,risk,its higher risk,0.5
139,High-yield Corporate Bonds,a high yield corporate bond be a type of corporate bond that offer a higher rate of interest because of its higher risk of default,risk,higher risk of,0.5
140,High-yield Corporate Bonds,a high yield corporate bond be a type of corporate bond that offer a higher rate of interest because of its higher risk of default,risk,risk of default,0.5
141,High-yield Corporate Bonds,when company with a greater estimate default risk issue bond they may be unable to obtain a investment grade bond credit rating,risk,risk,1.0
142,High-yield Corporate Bonds,when company with a greater estimate default risk issue bond they may be unable to obtain a investment grade bond credit rating,risk,default risk,0.6666666666666666
143,High-yield Corporate Bonds,when company with a greater estimate default risk issue bond they may be unable to obtain a investment grade bond credit rating,risk,risk issue,0.6666666666666666
144,High-yield Corporate Bonds,when company with a greater estimate default risk issue bond they may be unable to obtain a investment grade bond credit rating,risk,estimate default risk,0.5
145,High-yield Corporate Bonds,when company with a greater estimate default risk issue bond they may be unable to obtain a investment grade bond credit rating,risk,default risk issue,0.5
146,High-yield Corporate Bonds,when company with a greater estimate default risk issue bond they may be unable to obtain a investment grade bond credit rating,risk,risk issue bond,0.5
147,High-yield Corporate Bonds,as a result they typically issue bond with higher interest rate in order to entice investor and compensate they for this higher risk,risk,risk,1.0
148,High-yield Corporate Bonds,as a result they typically issue bond with higher interest rate in order to entice investor and compensate they for this higher risk,risk,higher risk,0.6666666666666666
149,High-yield Corporate Bonds,as a result they typically issue bond with higher interest rate in order to entice investor and compensate they for this higher risk,risk,this higher risk,0.5
150,High-yield Corporate Bonds,what be high yield corporate bond investor bulletin interest rate risk msrb investor guide 2012 bond fund and income fund callable or redeemable bond Financial Industry Regulatory authority finra information on cusip number late payment of interest on bond Municipal security rulemaking board msrb msrb Electronic Municipal market access EMMA the Securities Industry and Financial Markets Association SIFMA,risk,risk,1.0
151,High-yield Corporate Bonds,what be high yield corporate bond investor bulletin interest rate risk msrb investor guide 2012 bond fund and income fund callable or redeemable bond Financial Industry Regulatory authority finra information on cusip number late payment of interest on bond Municipal security rulemaking board msrb msrb Electronic Municipal market access EMMA the Securities Industry and Financial Markets Association SIFMA,risk,rate risk,0.6666666666666666
152,High-yield Corporate Bonds,what be high yield corporate bond investor bulletin interest rate risk msrb investor guide 2012 bond fund and income fund callable or redeemable bond Financial Industry Regulatory authority finra information on cusip number late payment of interest on bond Municipal security rulemaking board msrb msrb Electronic Municipal market access EMMA the Securities Industry and Financial Markets Association SIFMA,risk,risk msrb,0.6666666666666666
153,High-yield Corporate Bonds,what be high yield corporate bond investor bulletin interest rate risk msrb investor guide 2012 bond fund and income fund callable or redeemable bond Financial Industry Regulatory authority finra information on cusip number late payment of interest on bond Municipal security rulemaking board msrb msrb Electronic Municipal market access EMMA the Securities Industry and Financial Markets Association SIFMA,risk,interest rate risk,0.5
154,High-yield Corporate Bonds,what be high yield corporate bond investor bulletin interest rate risk msrb investor guide 2012 bond fund and income fund callable or redeemable bond Financial Industry Regulatory authority finra information on cusip number late payment of interest on bond Municipal security rulemaking board msrb msrb Electronic Municipal market access EMMA the Securities Industry and Financial Markets Association SIFMA,risk,rate risk msrb,0.5
155,High-yield Corporate Bonds,what be high yield corporate bond investor bulletin interest rate risk msrb investor guide 2012 bond fund and income fund callable or redeemable bond Financial Industry Regulatory authority finra information on cusip number late payment of interest on bond Municipal security rulemaking board msrb msrb Electronic Municipal market access EMMA the Securities Industry and Financial Markets Association SIFMA,risk,risk msrb investor,0.5
156,Certificates of Deposit (CDs),a certificate of deposit cd be a savings account that hold a fix amount of money for a fix period of time such as six month one year or five year and in exchange the issue bank pay interest,time,time,1.0
157,Certificates of Deposit (CDs),a certificate of deposit cd be a savings account that hold a fix amount of money for a fix period of time such as six month one year or five year and in exchange the issue bank pay interest,time,of time,0.6666666666666666
158,Certificates of Deposit (CDs),a certificate of deposit cd be a savings account that hold a fix amount of money for a fix period of time such as six month one year or five year and in exchange the issue bank pay interest,time,time such,0.6666666666666666
159,Certificates of Deposit (CDs),a certificate of deposit cd be a savings account that hold a fix amount of money for a fix period of time such as six month one year or five year and in exchange the issue bank pay interest,time,period of time,0.5
160,Certificates of Deposit (CDs),a certificate of deposit cd be a savings account that hold a fix amount of money for a fix period of time such as six month one year or five year and in exchange the issue bank pay interest,time,of time such,0.5
161,Certificates of Deposit (CDs),a certificate of deposit cd be a savings account that hold a fix amount of money for a fix period of time such as six month one year or five year and in exchange the issue bank pay interest,time,time such as,0.5
162,Certificates of Deposit (CDs),as with all investment there be benefit and risk associate with cd,risk,risk,1.0
163,Certificates of Deposit (CDs),as with all investment there be benefit and risk associate with cd,risk,and risk,0.6666666666666666
164,Certificates of Deposit (CDs),as with all investment there be benefit and risk associate with cd,risk,risk associate,0.6666666666666666
165,Certificates of Deposit (CDs),as with all investment there be benefit and risk associate with cd,risk,benefit and risk,0.5
166,Certificates of Deposit (CDs),as with all investment there be benefit and risk associate with cd,risk,and risk associate,0.5
167,Certificates of Deposit (CDs),as with all investment there be benefit and risk associate with cd,risk,risk associate with,0.5
168,Certificates of Deposit (CDs),the risk with cd be the risk that inflation will grow faster than you money and lower you real return over time,expect return,return,0.6666666666666666
169,Certificates of Deposit (CDs),the risk with cd be the risk that inflation will grow faster than you money and lower you real return over time,expect return,real return,0.5
170,Certificates of Deposit (CDs),the risk with cd be the risk that inflation will grow faster than you money and lower you real return over time,expect return,return over,0.5
171,Certificates of Deposit (CDs),the risk with cd be the risk that inflation will grow faster than you money and lower you real return over time,factor affect return,return,0.5
172,Certificates of Deposit (CDs),the risk with cd be the risk that inflation will grow faster than you money and lower you real return over time,risk,risk,1.0
173,Certificates of Deposit (CDs),the risk with cd be the risk that inflation will grow faster than you money and lower you real return over time,risk,risk,1.0
174,Certificates of Deposit (CDs),the risk with cd be the risk that inflation will grow faster than you money and lower you real return over time,risk,the risk,0.6666666666666666
175,Certificates of Deposit (CDs),the risk with cd be the risk that inflation will grow faster than you money and lower you real return over time,risk,risk with,0.6666666666666666
176,Certificates of Deposit (CDs),the risk with cd be the risk that inflation will grow faster than you money and lower you real return over time,risk,the risk,0.6666666666666666
177,Certificates of Deposit (CDs),the risk with cd be the risk that inflation will grow faster than you money and lower you real return over time,risk,risk that,0.6666666666666666
178,Certificates of Deposit (CDs),the risk with cd be the risk that inflation will grow faster than you money and lower you real return over time,risk,the risk with,0.5
179,Certificates of Deposit (CDs),the risk with cd be the risk that inflation will grow faster than you money and lower you real return over time,risk,risk with cd,0.5
180,Certificates of Deposit (CDs),the risk with cd be the risk that inflation will grow faster than you money and lower you real return over time,risk,be the risk,0.5
181,Certificates of Deposit (CDs),the risk with cd be the risk that inflation will grow faster than you money and lower you real return over time,risk,the risk that,0.5
182,Certificates of Deposit (CDs),the risk with cd be the risk that inflation will grow faster than you money and lower you real return over time,risk,risk that inflation,0.5
183,Certificates of Deposit (CDs),the risk with cd be the risk that inflation will grow faster than you money and lower you real return over time,time,time,1.0
184,Certificates of Deposit (CDs),the risk with cd be the risk that inflation will grow faster than you money and lower you real return over time,time,over time,0.6666666666666666
185,Certificates of Deposit (CDs),the risk with cd be the risk that inflation will grow faster than you money and lower you real return over time,time,return over time,0.5
186,Savings Bonds,savings bond be a popular birthday and graduation gift and also can be use toward financing education supplemental retirement income and other special event,form financing,financing,0.6666666666666666
187,Savings Bonds,savings bond be a popular birthday and graduation gift and also can be use toward financing education supplemental retirement income and other special event,form financing,toward financing,0.5
188,Savings Bonds,savings bond be a popular birthday and graduation gift and also can be use toward financing education supplemental retirement income and other special event,form financing,financing education,0.5
189,Savings Bonds,in paper form these bond be only available in specific denomination,form financing,form,0.6666666666666666
190,Savings Bonds,in paper form these bond be only available in specific denomination,form financing,paper form,0.5
191,Savings Bonds,in paper form these bond be only available in specific denomination,form financing,form these,0.5
192,Bonds,borrower issue bond to raise money from investor willing to lend they money for a certain amount of time,time,time,1.0
193,Bonds,borrower issue bond to raise money from investor willing to lend they money for a certain amount of time,time,of time,0.6666666666666666
194,Bonds,borrower issue bond to raise money from investor willing to lend they money for a certain amount of time,time,amount of time,0.5
195,Bonds,in return the issuer promise to pay you a specify rate of interest during the life of the bond and to repay the principal also know as face value or par value of the bond when it mature or come due after a set period of time,expect return,return,0.6666666666666666
196,Bonds,in return the issuer promise to pay you a specify rate of interest during the life of the bond and to repay the principal also know as face value or par value of the bond when it mature or come due after a set period of time,expect return,in return,0.5
197,Bonds,in return the issuer promise to pay you a specify rate of interest during the life of the bond and to repay the principal also know as face value or par value of the bond when it mature or come due after a set period of time,expect return,return the,0.5
198,Bonds,in return the issuer promise to pay you a specify rate of interest during the life of the bond and to repay the principal also know as face value or par value of the bond when it mature or come due after a set period of time,factor affect return,return,0.5
199,Bonds,in return the issuer promise to pay you a specify rate of interest during the life of the bond and to repay the principal also know as face value or par value of the bond when it mature or come due after a set period of time,time,time,1.0
200,Bonds,in return the issuer promise to pay you a specify rate of interest during the life of the bond and to repay the principal also know as face value or par value of the bond when it mature or come due after a set period of time,time,of time,0.6666666666666666
201,Bonds,in return the issuer promise to pay you a specify rate of interest during the life of the bond and to repay the principal also know as face value or par value of the bond when it mature or come due after a set period of time,time,period of time,0.5
202,Bonds,what be the benefit and risk of bond,risk,risk,1.0
203,Bonds,what be the benefit and risk of bond,risk,and risk,0.6666666666666666
204,Bonds,what be the benefit and risk of bond,risk,risk of,0.6666666666666666
205,Bonds,what be the benefit and risk of bond,risk,benefit and risk,0.5
206,Bonds,what be the benefit and risk of bond,risk,and risk of,0.5
207,Bonds,what be the benefit and risk of bond,risk,risk of bond,0.5
208,Bonds,provide operate cash flow financing debt funding capital investment in school highway hospital and other project,form financing,financing,0.6666666666666666
209,Bonds,provide operate cash flow financing debt funding capital investment in school highway hospital and other project,form financing,flow financing,0.5
210,Bonds,provide operate cash flow financing debt funding capital investment in school highway hospital and other project,form financing,financing debt,0.5
211,Bonds,these bond have a higher credit rating imply less credit risk than high yield corporate bond,risk,risk,1.0
212,Bonds,these bond have a higher credit rating imply less credit risk than high yield corporate bond,risk,credit risk,0.6666666666666666
213,Bonds,these bond have a higher credit rating imply less credit risk than high yield corporate bond,risk,risk than,0.6666666666666666
