,investment title,surrounding sentence,ontology attribute,similar pair,RatcliffObershelp
26,Corporate Bonds,company use the proceed from bond sale for a wide variety of purpose include buy new equipment invest in research and development buy back they own stock pay shareholder dividend refinancing debt and financing merger and acquisition,form financing,refinancing debt,0.6666666666666666
27,Corporate Bonds,company use the proceed from bond sale for a wide variety of purpose include buy new equipment invest in research and development buy back they own stock pay shareholder dividend refinancing debt and financing merger and acquisition,form financing,and financing,0.7407407407407407
28,Corporate Bonds,company use the proceed from bond sale for a wide variety of purpose include buy new equipment invest in research and development buy back they own stock pay shareholder dividend refinancing debt and financing merger and acquisition,form financing,financing merger,0.6
29,Corporate Bonds,company use the proceed from bond sale for a wide variety of purpose include buy new equipment invest in research and development buy back they own stock pay shareholder dividend refinancing debt and financing merger and acquisition,form financing,debt and financing,0.625
30,Corporate Bonds,longer term bond usually offer higher interest rate but may entail additional risk,risk,risk,1.0
31,Corporate Bonds,credit rating agency assign credit rating base on they evaluation of the risk that the company may default on its bond,risk,risk,1.0
32,Corporate Bonds,credit rating agency assign credit rating base on they evaluation of the risk that the company may default on its bond,risk,the risk,0.6666666666666666
33,Corporate Bonds,credit rating agency assign credit rating base on they evaluation of the risk that the company may default on its bond,risk,risk that,0.6153846153846154
34,Corporate Bonds,credit rating agency periodically review they bond rating and may revise they if condition or expectation change,expect return,expectation,0.6666666666666666
35,Corporate Bonds,credit rating agency periodically review they bond rating and may revise they if condition or expectation change,expect return,or expectation,0.5925925925925926
36,Corporate Bonds,credit rating agency periodically review they bond rating and may revise they if condition or expectation change,risk,revise,0.6
37,Corporate Bonds,investment grade bond be consider more likely than non-investment grade bond to be pay on time,time,time,1.0
38,Corporate Bonds,investment grade bond be consider more likely than non-investment grade bond to be pay on time,time,on time,0.7272727272727273
39,Corporate Bonds,non-investment grade bond which be also call high yield or speculative bond generally offer higher interest rate to compensate investor for greater risk,risk,risk,1.0
40,Corporate Bonds,what be high yield corporate bond investor bulletin interest rate risk msrb investor guide 2012,risk,risk,1.0
41,Corporate Bonds,what be high yield corporate bond investor bulletin interest rate risk msrb investor guide 2012,risk,rate risk,0.6153846153846154
42,Corporate Bonds,what be high yield corporate bond investor bulletin interest rate risk msrb investor guide 2012,risk,risk msrb,0.6153846153846154
43,Corporate Bonds,bond fund and income fund callable or redeemable bond Financial Industry Regulatory authority finra information on cusip number late payment of interest on bond Municipal security rulemaking board msrb msrb Electronic Municipal market access EMMA the Securities Industry and Financial Markets Association SIFMA,time,income,0.6
44,Municipal Bonds,municipal bond or munis for short be debt security issue by state city county and other governmental entity to fund day to day obligation and to finance capital project such as building school highway or sewer system,form financing,to finance,0.6666666666666666
45,Municipal Bonds,by purchase municipal bond you be in effect lend money to the bond issuer in exchange for a promise of regular interest payment usually semi-annually and the return of the original investment or principal,expect return,return,0.631578947368421
46,Municipal Bonds,by purchase municipal bond you be in effect lend money to the bond issuer in exchange for a promise of regular interest payment usually semi-annually and the return of the original investment or principal,expect return,the return,0.6956521739130435
47,Municipal Bonds,by purchase municipal bond you be in effect lend money to the bond issuer in exchange for a promise of regular interest payment usually semi-annually and the return of the original investment or principal,expect return,and the return,0.5925925925925926
48,Municipal Bonds,by purchase municipal bond you be in effect lend money to the bond issuer in exchange for a promise of regular interest payment usually semi-annually and the return of the original investment or principal,expect return,the return of,0.6153846153846154
49,Municipal Bonds,by purchase municipal bond you be in effect lend money to the bond issuer in exchange for a promise of regular interest payment usually semi-annually and the return of the original investment or principal,factor affect return,the return,0.6
50,Municipal Bonds,generally the interest on municipal bond be exempt from federal income tax,time,income,0.6
51,Municipal Bonds,bond investor typically seek a steady stream of income payment and compare to stock investor may be more risk averse and more focus on preserve rather than increase wealth,risk,risk,1.0
52,Municipal Bonds,bond investor typically seek a steady stream of income payment and compare to stock investor may be more risk averse and more focus on preserve rather than increase wealth,risk,more risk,0.6153846153846154
53,Municipal Bonds,bond investor typically seek a steady stream of income payment and compare to stock investor may be more risk averse and more focus on preserve rather than increase wealth,time,income,0.6
54,Municipal Bonds,give the tax benefit the interest rate for municipal bond be usually lower than on taxable fix income security such as corporate bond,intermediary platform,interest rate for,0.631578947368421
55,Municipal Bonds,give the tax benefit the interest rate for municipal bond be usually lower than on taxable fix income security such as corporate bond,time,income,0.6
56,Municipal Bonds,in addition municipal borrower sometimes issue bond on behalf of private entity such as non-profit college or hospital,time,sometimes,0.6153846153846154
57,Municipal Bonds,information available to you include,availability,available,0.7619047619047619
58,Municipal Bonds,information available to you include,availability,available to,0.75
59,Municipal Bonds,information available to you include,availability,available to you,0.7142857142857143
60,Municipal Bonds,disclosure document go back as early as 1990 include a bond 's official statement which be a disclosure document similar to a prospectus that include important characteristic such as type yield maturity credit quality call feature and risk factor as well as audit financial statement material event notice and other continue disclosure include rating change principal and interest payment delinquency and non-payment related default,form financing,financial,0.6086956521739131
61,Municipal Bonds,disclosure document go back as early as 1990 include a bond 's official statement which be a disclosure document similar to a prospectus that include important characteristic such as type yield maturity credit quality call feature and risk factor as well as audit financial statement material event notice and other continue disclosure include rating change principal and interest payment delinquency and non-payment related default,risk,risk,1.0
62,Municipal Bonds,disclosure document go back as early as 1990 include a bond 's official statement which be a disclosure document similar to a prospectus that include important characteristic such as type yield maturity credit quality call feature and risk factor as well as audit financial statement material event notice and other continue disclosure include rating change principal and interest payment delinquency and non-payment related default,risk,and risk,0.6666666666666666
63,Municipal Bonds,disclosure document go back as early as 1990 include a bond 's official statement which be a disclosure document similar to a prospectus that include important characteristic such as type yield maturity credit quality call feature and risk factor as well as audit financial statement material event notice and other continue disclosure include rating change principal and interest payment delinquency and non-payment related default,time,notice,0.6
64,Municipal Bonds,1 historical and real time transaction price data include information relate to a type of municipal bond call a variable rate demand obligation that reset its interest rate periodically,availability,variable,0.6
65,Municipal Bonds,1 historical and real time transaction price data include information relate to a type of municipal bond call a variable rate demand obligation that reset its interest rate periodically,availability,a variable,0.6363636363636364
66,Municipal Bonds,1 historical and real time transaction price data include information relate to a type of municipal bond call a variable rate demand obligation that reset its interest rate periodically,availability,a variable rate,0.5925925925925926
67,Municipal Bonds,1 historical and real time transaction price data include information relate to a type of municipal bond call a variable rate demand obligation that reset its interest rate periodically,time,time,1.0
68,Municipal Bonds,1 historical and real time transaction price data include information relate to a type of municipal bond call a variable rate demand obligation that reset its interest rate periodically,time,real time,0.6153846153846154
69,Municipal Bonds,investor should be aware that recent price information may not be available for bond that do not trade frequently,availability,available,0.7619047619047619
70,Municipal Bonds,investor should be aware that recent price information may not be available for bond that do not trade frequently,availability,be available,0.6666666666666666
71,Municipal Bonds,investor should be aware that recent price information may not be available for bond that do not trade frequently,availability,available for,0.64
72,Municipal Bonds,2 what be some of the risk of invest in municipal bond,risk,risk,1.0
73,Municipal Bonds,2 what be some of the risk of invest in municipal bond,risk,the risk,0.6666666666666666
74,Municipal Bonds,2 what be some of the risk of invest in municipal bond,risk,risk of,0.7272727272727273
75,Municipal Bonds,as with any investment invest in municipal bond entail risk,risk,risk,1.0
76,Municipal Bonds,investor in municipal bond face a number of risk specifically include,risk,risk,1.0
77,Municipal Bonds,investor in municipal bond face a number of risk specifically include,risk,of risk,0.7272727272727273
78,Municipal Bonds,call risk,risk,risk,1.0
79,Municipal Bonds,call risk,risk,call risk,0.6153846153846154
80,Municipal Bonds,call risk refer to the potential for a issuer to repay a bond before its maturity date something that a issuer may do if interest rate decline much as a homeowner might refinance a mortgage loan to benefit from lower interest rate,form financing,refinance,0.6086956521739131
81,Municipal Bonds,call risk refer to the potential for a issuer to repay a bond before its maturity date something that a issuer may do if interest rate decline much as a homeowner might refinance a mortgage loan to benefit from lower interest rate,risk,risk,1.0
82,Municipal Bonds,call risk refer to the potential for a issuer to repay a bond before its maturity date something that a issuer may do if interest rate decline much as a homeowner might refinance a mortgage loan to benefit from lower interest rate,risk,call risk,0.6153846153846154
83,Municipal Bonds,credit risk,risk,risk,1.0
84,Municipal Bonds,this be the risk that the bond issuer may experience financial problem that make it difficult or impossible to pay interest and principal in full the failure to pay interest or principal be refer to as default,form financing,financial,0.6086956521739131
85,Municipal Bonds,this be the risk that the bond issuer may experience financial problem that make it difficult or impossible to pay interest and principal in full the failure to pay interest or principal be refer to as default,risk,risk,1.0
86,Municipal Bonds,this be the risk that the bond issuer may experience financial problem that make it difficult or impossible to pay interest and principal in full the failure to pay interest or principal be refer to as default,risk,the risk,0.6666666666666666
87,Municipal Bonds,this be the risk that the bond issuer may experience financial problem that make it difficult or impossible to pay interest and principal in full the failure to pay interest or principal be refer to as default,risk,risk that,0.6153846153846154
88,Municipal Bonds,credit rating be available for many bond,availability,available,0.7619047619047619
89,Municipal Bonds,credit rating be available for many bond,availability,be available,0.6666666666666666
90,Municipal Bonds,credit rating be available for many bond,availability,available for,0.64
91,Municipal Bonds,credit rating be available for many bond,availability,available for many,0.6
92,Municipal Bonds,credit rating seek to estimate the relative credit risk of a bond as compare with other bond although a high rating do not reflect a prediction that the bond have no chance of defaulting,risk,risk,1.0
93,Municipal Bonds,credit rating seek to estimate the relative credit risk of a bond as compare with other bond although a high rating do not reflect a prediction that the bond have no chance of defaulting,risk,risk of,0.7272727272727273
94,Municipal Bonds,credit rating seek to estimate the relative credit risk of a bond as compare with other bond although a high rating do not reflect a prediction that the bond have no chance of defaulting,risk,risk of a,0.6153846153846154
95,Municipal Bonds,credit rating seek to estimate the relative credit risk of a bond as compare with other bond although a high rating do not reflect a prediction that the bond have no chance of defaulting,time,estimate,0.6666666666666666
96,Municipal Bonds,interest rate risk,risk,risk,1.0
97,Municipal Bonds,interest rate risk,risk,rate risk,0.6153846153846154
98,Municipal Bonds,the bond 's market price will move up as interest rate move down and it will decline as interest rate rise so that the market value of the bond may be more or less than the par value,risk,rise,0.75
99,Municipal Bonds,U.S. interest rate have be low for some time,time,time,1.0
100,Municipal Bonds,U.S. interest rate have be low for some time,time,some time,0.6153846153846154
101,Municipal Bonds,inflation risk,risk,risk,1.0
102,Municipal Bonds,inflation reduce purchase power which be a risk for investor receive a fix rate of interest,risk,risk,1.0
103,Municipal Bonds,inflation reduce purchase power which be a risk for investor receive a fix rate of interest,risk,a risk,0.8
104,Municipal Bonds,inflation reduce purchase power which be a risk for investor receive a fix rate of interest,risk,risk for,0.6666666666666666
105,Municipal Bonds,inflation reduce purchase power which be a risk for investor receive a fix rate of interest,risk,be a risk,0.6153846153846154
106,Municipal Bonds,liquidity risk,risk,risk,1.0
107,Municipal Bonds,this refer to the risk that investor will not find a active market for the municipal bond potentially prevent they from buy or sell when they want and obtain a certain price for the bond,risk,risk,1.0
108,Municipal Bonds,this refer to the risk that investor will not find a active market for the municipal bond potentially prevent they from buy or sell when they want and obtain a certain price for the bond,risk,the risk,0.6666666666666666
109,Municipal Bonds,this refer to the risk that investor will not find a active market for the municipal bond potentially prevent they from buy or sell when they want and obtain a certain price for the bond,risk,risk that,0.6153846153846154
110,Municipal Bonds,this refer to the risk that investor will not find a active market for the municipal bond potentially prevent they from buy or sell when they want and obtain a certain price for the bond,time,active,0.6
111,Municipal Bonds,in addition to the risk what other factor should you consider when invest in municipal bond,risk,risk,1.0
112,Municipal Bonds,in addition to the risk what other factor should you consider when invest in municipal bond,risk,the risk,0.6666666666666666
113,Municipal Bonds,in addition to the risk what other factor should you consider when invest in municipal bond,risk,risk what,0.6153846153846154
114,Municipal Bonds,consider consult a tax professional to discuss the bond 's tax implication include the possibility that you bond may be subject to the federal alternative minimum tax or eligible for state income tax benefit,availability,possibility,0.6086956521739131
115,Municipal Bonds,consider consult a tax professional to discuss the bond 's tax implication include the possibility that you bond may be subject to the federal alternative minimum tax or eligible for state income tax benefit,time,income,0.6
116,Municipal Bonds,1 official statement produce before June 1 2009 and continue disclosure document produce before July 1 2009 may be available from one of the follow organization,availability,available,0.7619047619047619
117,Municipal Bonds,1 official statement produce before June 1 2009 and continue disclosure document produce before July 1 2009 may be available from one of the follow organization,availability,be available,0.6666666666666666
118,Municipal Bonds,1 official statement produce before June 1 2009 and continue disclosure document produce before July 1 2009 may be available from one of the follow organization,availability,available from,0.6153846153846154
119,Municipal Bonds,stay on the Safe Side of the Street in Rough Times SEC 's Office of Municipal Securities Spotlight on Municipal Securities Markets Municipal Securities Rulemaking Board EMMA Education Center Municipal Securities Rulemaking Board Electronic Municipal Market access EMMA,time,Times,0.6666666666666666
120,Auction Rate Securities ,municipality and public authority student loan provider and other institutional borrower first begin use ARS to raise fund in the 1980,risk,raise,0.6666666666666666
121,Auction Rate Securities ,follow the turmoil in the financial market that emerge in 2007 interest rate auction for ARS begin to fail when the auction attract too few bidder to establish a clear rate,form financing,financial,0.6086956521739131
122,Auction Rate Securities ,follow the turmoil in the financial market that emerge in 2007 interest rate auction for ARS begin to fail when the auction attract too few bidder to establish a clear rate,form financing,the financial,0.5925925925925926
123,Auction Rate Securities ,these dislocation result in high or penalty interest rate on those security and or a inability of investor to sell they ars until there be a successful auction,availability,inability,0.7619047619047619
124,Auction Rate Securities ,these dislocation result in high or penalty interest rate on those security and or a inability of investor to sell they ars until there be a successful auction,availability,a inability,0.782608695652174
125,Auction Rate Securities ,these dislocation result in high or penalty interest rate on those security and or a inability of investor to sell they ars until there be a successful auction,availability,inability of,0.6666666666666666
126,Auction Rate Securities ,these dislocation result in high or penalty interest rate on those security and or a inability of investor to sell they ars until there be a successful auction,availability,or a inability,0.6923076923076923
127,Auction Rate Securities ,these dislocation result in high or penalty interest rate on those security and or a inability of investor to sell they ars until there be a successful auction,availability,a inability of,0.6923076923076923
128,Auction Rate Securities ,these dislocation result in high or penalty interest rate on those security and or a inability of investor to sell they ars until there be a successful auction,availability,and or a inability,0.6666666666666666
129,Auction Rate Securities ,these dislocation result in high or penalty interest rate on those security and or a inability of investor to sell they ars until there be a successful auction,availability,or a inability of,0.6206896551724138
130,Auction Rate Securities ,for investor this mean that they be leave with illiquid investment with long term maturity,time,this mean,0.6153846153846154
131,Auction Rate Securities ,information regard the current interest rate for municipal ars and certain related information such as the maximum and minimum permit rate interest rate period maturity date and bid to cover ratio be now publicly available at no charge on EMMA at emma.msrb.org,availability,available,0.7619047619047619
132,Auction Rate Securities ,information regard the current interest rate for municipal ars and certain related information such as the maximum and minimum permit rate interest rate period maturity date and bid to cover ratio be now publicly available at no charge on EMMA at emma.msrb.org,availability,available at,0.75
133,Auction Rate Securities ,information regard the current interest rate for municipal ars and certain related information such as the maximum and minimum permit rate interest rate period maturity date and bid to cover ratio be now publicly available at no charge on EMMA at emma.msrb.org,availability,available at no,0.6666666666666666
134,Auction Rate Securities ,information regard the current interest rate for municipal ars and certain related information such as the maximum and minimum permit rate interest rate period maturity date and bid to cover ratio be now publicly available at no charge on EMMA at emma.msrb.org,intermediary platform,interest rate for,0.631578947368421
135,High-yield Corporate Bonds,a high yield corporate bond be a type of corporate bond that offer a higher rate of interest because of its higher risk of default,risk,risk,1.0
136,High-yield Corporate Bonds,a high yield corporate bond be a type of corporate bond that offer a higher rate of interest because of its higher risk of default,risk,risk of,0.7272727272727273
137,High-yield Corporate Bonds,when company with a greater estimate default risk issue bond they may be unable to obtain a investment grade bond credit rating,risk,risk,1.0
138,High-yield Corporate Bonds,when company with a greater estimate default risk issue bond they may be unable to obtain a investment grade bond credit rating,time,estimate,0.6666666666666666
139,High-yield Corporate Bonds,as a result they typically issue bond with higher interest rate in order to entice investor and compensate they for this higher risk,risk,risk,1.0
140,High-yield Corporate Bonds,as a result they typically issue bond with higher interest rate in order to entice investor and compensate they for this higher risk,time,entice,0.6
141,High-yield Corporate Bonds,high yield bond issuer may be company characterize as highly leverage or those experience financial difficulty,form financing,financial,0.6086956521739131
142,High-yield Corporate Bonds,smaller or emerge company may also have to issue high yield bond to offset unproven operating history or because they financial plan may be consider speculative or risky,form financing,financial,0.6086956521739131
143,High-yield Corporate Bonds,smaller or emerge company may also have to issue high yield bond to offset unproven operating history or because they financial plan may be consider speculative or risky,risk,risky,0.8888888888888888
144,High-yield Corporate Bonds,smaller or emerge company may also have to issue high yield bond to offset unproven operating history or because they financial plan may be consider speculative or risky,risk,or risky,0.6666666666666666
145,High-yield Corporate Bonds,what be high yield corporate bond investor bulletin interest rate risk msrb investor guide 2012 bond fund and income fund callable or redeemable bond Financial Industry Regulatory authority finra information on cusip number late payment of interest on bond Municipal security rulemaking board msrb msrb Electronic Municipal market access EMMA the Securities Industry and Financial Markets Association SIFMA,risk,risk,1.0
146,High-yield Corporate Bonds,what be high yield corporate bond investor bulletin interest rate risk msrb investor guide 2012 bond fund and income fund callable or redeemable bond Financial Industry Regulatory authority finra information on cusip number late payment of interest on bond Municipal security rulemaking board msrb msrb Electronic Municipal market access EMMA the Securities Industry and Financial Markets Association SIFMA,risk,rate risk,0.6153846153846154
147,High-yield Corporate Bonds,what be high yield corporate bond investor bulletin interest rate risk msrb investor guide 2012 bond fund and income fund callable or redeemable bond Financial Industry Regulatory authority finra information on cusip number late payment of interest on bond Municipal security rulemaking board msrb msrb Electronic Municipal market access EMMA the Securities Industry and Financial Markets Association SIFMA,risk,risk msrb,0.6153846153846154
148,High-yield Corporate Bonds,what be high yield corporate bond investor bulletin interest rate risk msrb investor guide 2012 bond fund and income fund callable or redeemable bond Financial Industry Regulatory authority finra information on cusip number late payment of interest on bond Municipal security rulemaking board msrb msrb Electronic Municipal market access EMMA the Securities Industry and Financial Markets Association SIFMA,time,income,0.6
149,Certificates of Deposit (CDs),a certificate of deposit cd be a savings account that hold a fix amount of money for a fix period of time such as six month one year or five year and in exchange the issue bank pay interest,time,time,1.0
150,Certificates of Deposit (CDs),a certificate of deposit cd be a savings account that hold a fix amount of money for a fix period of time such as six month one year or five year and in exchange the issue bank pay interest,time,of time,0.7272727272727273
151,Certificates of Deposit (CDs),a certificate of deposit cd be a savings account that hold a fix amount of money for a fix period of time such as six month one year or five year and in exchange the issue bank pay interest,time,time such,0.6153846153846154
152,Certificates of Deposit (CDs),as with all investment there be benefit and risk associate with cd,risk,risk,1.0
153,Certificates of Deposit (CDs),as with all investment there be benefit and risk associate with cd,risk,and risk,0.6666666666666666
154,Certificates of Deposit (CDs),the disclosure statement should outline the interest rate on the cd and say if the rate be fix or variable,availability,variable,0.6
155,Certificates of Deposit (CDs),the risk with cd be the risk that inflation will grow faster than you money and lower you real return over time,expect return,return,0.631578947368421
156,Certificates of Deposit (CDs),the risk with cd be the risk that inflation will grow faster than you money and lower you real return over time,expect return,real return,0.6666666666666666
157,Certificates of Deposit (CDs),the risk with cd be the risk that inflation will grow faster than you money and lower you real return over time,risk,risk,1.0
158,Certificates of Deposit (CDs),the risk with cd be the risk that inflation will grow faster than you money and lower you real return over time,risk,risk,1.0
159,Certificates of Deposit (CDs),the risk with cd be the risk that inflation will grow faster than you money and lower you real return over time,risk,the risk,0.6666666666666666
160,Certificates of Deposit (CDs),the risk with cd be the risk that inflation will grow faster than you money and lower you real return over time,risk,risk with,0.6153846153846154
161,Certificates of Deposit (CDs),the risk with cd be the risk that inflation will grow faster than you money and lower you real return over time,risk,the risk,0.6666666666666666
162,Certificates of Deposit (CDs),the risk with cd be the risk that inflation will grow faster than you money and lower you real return over time,risk,risk that,0.6153846153846154
163,Certificates of Deposit (CDs),the risk with cd be the risk that inflation will grow faster than you money and lower you real return over time,time,time,1.0
164,Certificates of Deposit (CDs),the risk with cd be the risk that inflation will grow faster than you money and lower you real return over time,time,over time,0.6153846153846154
165,Certificates of Deposit (CDs),these individual and entity know as deposit broker can sometimes negotiate a higher rate of interest for a cd by promise to bring a certain amount of deposit to the institution,intermediary platform,interest for,0.6060606060606061
166,Certificates of Deposit (CDs),these individual and entity know as deposit broker can sometimes negotiate a higher rate of interest for a cd by promise to bring a certain amount of deposit to the institution,time,sometimes,0.6153846153846154
167,Certificates of Deposit (CDs),you state security regulator may have additional information,regulatory environment,regulator may have,0.6
168,Savings Bonds,start January 1 2012 you can no longer buy paper savings bond at financial institution,form financing,financial,0.6086956521739131
169,Savings Bonds,start January 1 2012 you can no longer buy paper savings bond at financial institution,form financing,at financial,0.6153846153846154
170,Savings Bonds,"under the rule a individual can buy a maximum of $ 10,000 worth in each series in a single calendar year or a total of $ 20,000",risk,series,0.6
171,Savings Bonds,Series ee U.S. Savings bond be a appreciation type or accrual type savings security,risk,Series,0.6
172,Savings Bonds,"you can not buy more than $ 10,000 face value of Series ee bond in any calendar year",risk,Series,0.6
173,Savings Bonds,Series I U.S. Savings Bonds be inflation index,risk,Series,0.6
174,Savings Bonds,"they be sell at face value and you can buy up to $ 10,000 face value of Series I bond in any calendar year",risk,Series,0.6
175,Savings Bonds,Series I bond offer a fix rate of interest adjust for inflation,form financing,for inflation,0.5925925925925926
176,Savings Bonds,Series I bond offer a fix rate of interest adjust for inflation,risk,Series,0.6
177,Savings Bonds,as with Series EE Bonds if you redeem Series I bond in the first five year you will forfeit the three most recent month 's interest,risk,Series,0.6
178,Savings Bonds,as with Series EE Bonds if you redeem Series I bond in the first five year you will forfeit the three most recent month 's interest,risk,Series,0.6
179,Savings Bonds,savings bond be a popular birthday and graduation gift and also can be use toward financing education supplemental retirement income and other special event,form financing,financing,0.782608695652174
180,Savings Bonds,savings bond be a popular birthday and graduation gift and also can be use toward financing education supplemental retirement income and other special event,form financing,toward financing,0.8
181,Savings Bonds,savings bond be a popular birthday and graduation gift and also can be use toward financing education supplemental retirement income and other special event,form financing,use toward financing,0.7058823529411765
182,Savings Bonds,savings bond be a popular birthday and graduation gift and also can be use toward financing education supplemental retirement income and other special event,form financing,toward financing education,0.6
183,Savings Bonds,savings bond be a popular birthday and graduation gift and also can be use toward financing education supplemental retirement income and other special event,form financing,be use toward financing,0.6486486486486487
184,Savings Bonds,savings bond be a popular birthday and graduation gift and also can be use toward financing education supplemental retirement income and other special event,time,income,0.6
185,Savings Bonds,in addition tax benefit be available for eligible taxpayer when Series EE and Series I savings bond be use for qualified education expense,availability,available,0.7619047619047619
186,Savings Bonds,in addition tax benefit be available for eligible taxpayer when Series EE and Series I savings bond be use for qualified education expense,availability,be available,0.6666666666666666
187,Savings Bonds,in addition tax benefit be available for eligible taxpayer when Series EE and Series I savings bond be use for qualified education expense,availability,available for,0.64
188,Savings Bonds,in addition tax benefit be available for eligible taxpayer when Series EE and Series I savings bond be use for qualified education expense,risk,Series,0.6
189,Savings Bonds,in addition tax benefit be available for eligible taxpayer when Series EE and Series I savings bond be use for qualified education expense,risk,Series,0.6
190,Savings Bonds,in paper form these bond be only available in specific denomination,availability,available,0.7619047619047619
191,Savings Bonds,in paper form these bond be only available in specific denomination,availability,only available,0.6153846153846154
192,Savings Bonds,in paper form these bond be only available in specific denomination,availability,available in,0.6666666666666666
193,Bonds,borrower issue bond to raise money from investor willing to lend they money for a certain amount of time,risk,raise,0.6666666666666666
194,Bonds,borrower issue bond to raise money from investor willing to lend they money for a certain amount of time,time,time,1.0
195,Bonds,borrower issue bond to raise money from investor willing to lend they money for a certain amount of time,time,of time,0.7272727272727273
196,Bonds,in return the issuer promise to pay you a specify rate of interest during the life of the bond and to repay the principal also know as face value or par value of the bond when it mature or come due after a set period of time,expect return,return,0.631578947368421
197,Bonds,in return the issuer promise to pay you a specify rate of interest during the life of the bond and to repay the principal also know as face value or par value of the bond when it mature or come due after a set period of time,expect return,in return,0.6363636363636364
198,Bonds,in return the issuer promise to pay you a specify rate of interest during the life of the bond and to repay the principal also know as face value or par value of the bond when it mature or come due after a set period of time,time,time,1.0
199,Bonds,in return the issuer promise to pay you a specify rate of interest during the life of the bond and to repay the principal also know as face value or par value of the bond when it mature or come due after a set period of time,time,of time,0.7272727272727273
200,Bonds,what be the benefit and risk of bond,risk,risk,1.0
201,Bonds,what be the benefit and risk of bond,risk,and risk,0.6666666666666666
202,Bonds,what be the benefit and risk of bond,risk,risk of,0.7272727272727273
203,Bonds,they provide a predictable income stream,time,income,0.6
204,Bonds,typically bond pay interest twice a year,time,twice,0.6666666666666666
205,Bonds,if the bond be hold to maturity bondholder get back the entire principal so bond be a way to preserve capital while invest,time,entire,0.6
206,Bonds,provide operate cash flow financing debt funding capital investment in school highway hospital and other project,form financing,financing,0.782608695652174
207,Bonds,provide operate cash flow financing debt funding capital investment in school highway hospital and other project,form financing,flow financing,0.8571428571428571
208,Bonds,provide operate cash flow financing debt funding capital investment in school highway hospital and other project,form financing,financing debt,0.6428571428571429
